f	v
659.98	0.00020
661.84	0.00017
663.70	0.00017
665.56	0.00020
667.42	0.00020
669.28	0.00018
671.14	0.00015
673.00	0.00010
674.86	0.00005
676.72	0.00008
678.57	0.00013
680.43	0.00014
682.29	0.00011
684.15	0.00006
686.01	0.00004
687.87	0.00006
689.73	0.00008
691.59	0.00011
693.45	0.00015
695.31	0.00017
697.17	0.00019
699.03	0.00021
700.88	0.00022
702.74	0.00024
704.60	0.00024
706.46	0.00022
708.32	0.00021
710.18	0.00020
712.04	0.00019
713.90	0.00018
715.76	0.00021
717.62	0.00024
719.48	0.00024
721.33	0.00019
723.19	0.00016
725.05	0.00025
726.91	0.00032
728.77	0.00032
730.63	0.00028
732.49	0.00025
734.35	0.00023
736.21	0.00022
738.07	0.00019
739.93	0.00015
741.78	0.00014
743.64	0.00014
745.50	0.00012
747.36	0.00008
749.22	0.00004
751.08	0.00004
752.94	0.00006
754.80	0.00009
756.66	0.00012
758.52	0.00014
760.38	0.00015
762.23	0.00018
764.09	0.00024
765.95	0.00027
767.81	0.00028
769.67	0.00026
771.53	0.00024
773.39	0.00022
775.25	0.00021
777.11	0.00020
778.97	0.00018
780.83	0.00017
782.69	0.00016
784.54	0.00015
786.40	0.00013
788.26	0.00008
790.12	0.00007
791.98	0.00013
793.84	0.00017
795.70	0.00015
797.56	0.00011
799.42	0.00009
801.28	0.00009
803.14	0.00007
804.99	0.00004
806.85	0.00001
808.71	0.00005
810.57	0.00010
812.43	0.00015
814.29	0.00016
816.15	0.00015
818.01	0.00014
819.87	0.00014
821.73	0.00014
823.59	0.00013
825.44	0.00012
827.30	0.00010
829.16	0.00009
831.02	0.00011
832.88	0.00017
834.74	0.00020
836.60	0.00020
838.46	0.00020
840.32	0.00019
842.18	0.00017
844.04	0.00015
845.89	0.00016
847.75	0.00020
849.61	0.00021
851.47	0.00019
853.33	0.00017
855.19	0.00017
857.05	0.00018
858.91	0.00017
860.77	0.00010
862.63	0.00002
864.49	0.00009
866.34	0.00015
868.20	0.00018
870.06	0.00019
871.92	0.00019
873.78	0.00019
875.64	0.00020
877.50	0.00019
879.36	0.00019
881.22	0.00020
883.08	0.00022
884.94	0.00023
886.80	0.00023
888.65	0.00024
890.51	0.00025
892.37	0.00023
894.23	0.00019
896.09	0.00017
897.95	0.00018
899.81	0.00022
901.67	0.00025
903.53	0.00023
905.39	0.00017
907.25	0.00009
909.10	0.00008
910.96	0.00011
912.82	0.00014
914.68	0.00015
916.54	0.00014
918.40	0.00013
920.26	0.00009
922.12	0.00004
923.98	0.00001
925.84	0.00006
927.70	0.00012
929.55	0.00017
931.41	0.00019
933.27	0.00019
935.13	0.00017
936.99	0.00014
938.85	0.00010
940.71	0.00006
942.57	0.00004
944.43	0.00009
946.29	0.00012
948.15	0.00011
950.00	0.00006
