Frecuencia(Hz)	Magnitud(V)
0.00	0.00750
14.87	0.00735
29.75	0.00768
44.62	0.00773
59.50	0.00829
74.37	0.00857
89.24	0.00956
104.12	0.01031
118.99	0.01181
133.87	0.01342
148.74	0.01708
163.61	0.02226
178.49	0.03675
193.36	0.09806
208.23	0.08968
223.11	0.02947
237.98	0.01804
252.86	0.01205
267.73	0.00940
282.60	0.00720
297.48	0.00618
312.35	0.00500
327.23	0.00465
342.10	0.00385
356.97	0.00348
371.85	0.00292
386.72	0.00282
401.60	0.00245
416.47	0.00229
431.34	0.00199
446.22	0.00189
461.09	0.00161
475.97	0.00145
490.84	0.00125
505.71	0.00119
520.59	0.00103
535.46	0.00105
550.34	0.00085
565.21	0.00092
580.08	0.00082
594.96	0.00090
609.83	0.00068
624.70	0.00067
639.58	0.00063
654.45	0.00072
669.33	0.00060
684.20	0.00065
699.07	0.00078
713.95	0.00069
728.82	0.00063
743.70	0.00062
758.57	0.00052
773.44	0.00052
788.32	0.00054
803.19	0.00052
818.07	0.00039
832.94	0.00040
847.81	0.00044
862.69	0.00022
877.56	0.00031
892.44	0.00031
907.31	0.00034
922.18	0.00017
937.06	0.00023
