Tiempo(s)	Voltaje(V)
0.000064	2.14521
0.000641	2.15649
0.001174	2.23948
0.001701	2.26934
0.002227	2.27095
0.002785	2.24431
0.003310	2.13555
0.003835	1.96711
0.004362	1.83976
0.004904	1.69555
0.005430	1.47635
0.005955	1.27810
0.006480	1.11853
0.007005	1.03313
0.007531	1.00891
0.008056	1.05649
0.008581	1.12095
0.009128	1.21279
0.009654	1.39251
0.010180	1.60284
0.010705	1.81317
0.011231	2.00659
0.011756	2.15730
0.012281	2.24753
0.012806	2.26607
0.013331	2.22981
0.013857	2.09607
0.014382	1.91393
0.014908	1.71408
0.015434	1.50938
0.015958	1.29825
0.016483	1.13706
0.017008	1.06052
0.017557	1.02744
0.018082	1.00891
0.018607	1.07019
0.019132	1.19668
0.019657	1.37962
0.020183	1.56820
0.020708	1.79626
0.021234	1.99047
0.021759	2.14360
0.022284	2.24431
0.022810	2.27014
0.023335	2.22095
0.023860	2.10815
0.024386	1.94374
0.024911	1.73905
0.025436	1.51583
0.025962	1.33047
0.026488	1.16445
0.027013	1.04602
0.027538	1.00407
0.028064	1.03957
0.028589	1.13706
0.029115	1.28777
0.029640	1.48763
0.030165	1.71488
0.030690	1.91877
0.031216	2.09123
0.031740	2.21450
0.032266	2.26607
0.032792	2.24673
0.033317	2.16052
0.033842	2.12749
0.034417	2.11460
0.034942	1.94616
0.035467	1.73986
0.035993	1.52630
0.036517	1.31517
0.037042	1.15156
0.037568	1.04602
0.038093	1.00649
0.038618	1.04280
0.039143	1.14431
0.039668	1.31114
0.040194	1.50858
0.040718	1.72858
0.041243	1.93891
0.041769	2.10251
0.042294	2.22659
0.042819	2.27014
0.043344	2.23545
0.043869	2.14844
0.044394	1.98967
0.044920	1.79948
0.045445	1.57948
0.045970	1.37559
0.046495	1.18782
0.047021	1.07019
0.047547	1.00971
0.048072	1.02180
0.048597	1.10564
0.049122	1.25152
0.049648	1.44246
0.050172	1.66574
0.050698	1.87043
0.051222	2.05332
0.051748	2.19194
0.052274	2.26445
0.052798	2.26043
0.053323	2.18550
0.053848	2.04445
0.054374	1.86076
0.054898	1.63990
0.055423	1.42957
0.055949	1.24588
0.056474	1.10000
0.057000	1.01777
0.057525	1.01052
0.058050	1.07341
0.058575	1.20796
0.059100	1.39251
0.059625	1.59962
0.060150	1.81962
0.060675	2.01223
0.061200	2.16777
0.061725	2.25076
0.062251	2.26934
0.062776	2.21128
0.063301	2.09848
0.063827	1.91313
0.064352	1.70924
0.064877	1.49569
0.065403	1.29422
0.065927	1.12981
0.066452	1.03635
0.066978	1.00810
0.067503	1.01294
0.068122	1.04119
0.068647	1.00407
0.069172	1.04199
0.069698	1.15076
0.070224	1.30469
