Frecuencia(Hz)	Magnitud(V)
0.00	0.00036
1.86	0.00033
3.72	0.00025
5.58	0.00016
7.44	0.00009
9.30	0.00003
11.16	0.00002
13.02	0.00008
14.87	0.00013
16.73	0.00015
18.59	0.00016
20.45	0.00015
22.31	0.00013
24.17	0.00011
26.03	0.00010
27.89	0.00010
29.75	0.00011
31.61	0.00011
33.47	0.00011
35.33	0.00010
37.19	0.00009
39.05	0.00008
40.90	0.00008
42.76	0.00008
44.62	0.00008
46.48	0.00008
48.34	0.00006
50.20	0.00003
52.06	0.00005
53.92	0.00006
55.78	0.00007
57.64	0.00010
59.50	0.00013
61.36	0.00016
63.22	0.00021
65.08	0.00027
66.93	0.00028
68.79	0.00025
70.65	0.00021
72.51	0.00019
74.37	0.00018
76.23	0.00017
78.09	0.00012
79.95	0.00006
81.81	0.00004
83.67	0.00009
85.53	0.00011
87.39	0.00010
89.25	0.00007
91.11	0.00005
92.96	0.00004
94.82	0.00006
96.68	0.00010
98.54	0.00013
100.40	0.00016
102.26	0.00017
104.12	0.00019
105.98	0.00021
107.84	0.00023
109.70	0.00025
111.56	0.00025
113.42	0.00023
115.28	0.00020
117.14	0.00017
118.99	0.00016
120.85	0.00018
122.71	0.00023
124.57	0.00025
126.43	0.00022
128.29	0.00015
130.15	0.00009
132.01	0.00007
133.87	0.00007
135.73	0.00011
137.59	0.00016
139.45	0.00017
141.31	0.00015
143.17	0.00010
145.03	0.00006
146.88	0.00002
148.74	0.00003
150.60	0.00007
152.46	0.00011
154.32	0.00014
156.18	0.00016
158.04	0.00018
159.90	0.00021
161.76	0.00023
163.62	0.00026
165.48	0.00029
167.34	0.00032
169.20	0.00032
171.06	0.00029
172.91	0.00025
174.77	0.00022
176.63	0.00020
178.49	0.00018
180.35	0.00018
182.21	0.00020
184.07	0.00022
185.93	0.00023
187.79	0.00022
189.65	0.00019
191.51	0.00015
193.37	0.00011
195.23	0.00010
197.09	0.00012
198.94	0.00015
200.80	0.00018
202.66	0.00020
204.52	0.00025
206.38	0.00030
208.24	0.00033
210.10	0.00031
211.96	0.00026
213.82	0.00024
215.68	0.00024
217.54	0.00026
219.40	0.00025
221.26	0.00022
223.12	0.00021
224.97	0.00023
226.83	0.00027
228.69	0.00029
230.55	0.00030
232.41	0.00032
234.27	0.00033
236.13	0.00032
237.99	0.00029
239.85	0.00027
241.71	0.00027
243.57	0.00028
245.43	0.00028
247.29	0.00025
249.15	0.00020
251.00	0.00015
252.86	0.00013
254.72	0.00017
256.58	0.00024
258.44	0.00028
260.30	0.00028
262.16	0.00027
264.02	0.00026
265.88	0.00028
267.74	0.00030
269.60	0.00033
271.46	0.00035
273.32	0.00036
275.18	0.00035
277.04	0.00032
278.89	0.00028
280.75	0.00025
282.61	0.00025
284.47	0.00029
286.33	0.00031
288.19	0.00029
290.05	0.00023
291.91	0.00019
293.77	0.00017
295.63	0.00018
297.49	0.00020
299.35	0.00022
301.21	0.00025
303.07	0.00027
304.92	0.00027
306.78	0.00029
308.64	0.00030
310.50	0.00028
312.36	0.00027
314.22	0.00029
316.08	0.00032
317.94	0.00035
319.80	0.00037
321.66	0.00035
323.52	0.00030
325.38	0.00028
327.24	0.00027
329.10	0.00027
330.95	0.00027
332.81	0.00029
334.67	0.00033
336.53	0.00036
338.39	0.00036
340.25	0.00035
342.11	0.00034
343.97	0.00038
345.83	0.00043
347.69	0.00045
349.55	0.00042
351.41	0.00037
353.27	0.00034
355.13	0.00033
356.98	0.00033
358.84	0.00032
360.70	0.00032
362.56	0.00034
364.42	0.00037
366.28	0.00036
368.14	0.00032
370.00	0.00026
371.86	0.00023
373.72	0.00027
375.58	0.00036
377.44	0.00043
379.30	0.00045
381.16	0.00042
383.01	0.00038
384.87	0.00035
386.73	0.00033
388.59	0.00031
390.45	0.00033
392.31	0.00036
394.17	0.00039
396.03	0.00038
397.89	0.00035
399.75	0.00033
401.61	0.00036
403.47	0.00044
405.33	0.00051
407.19	0.00054
409.05	0.00051
410.90	0.00046
412.76	0.00044
414.62	0.00044
416.48	0.00043
418.34	0.00040
420.20	0.00038
422.06	0.00041
423.92	0.00047
425.78	0.00054
427.64	0.00056
429.50	0.00053
431.36	0.00052
433.22	0.00055
435.08	0.00060
436.93	0.00063
438.79	0.00062
440.65	0.00059
442.51	0.00055
444.37	0.00050
446.23	0.00047
448.09	0.00044
449.95	0.00044
451.81	0.00046
453.67	0.00048
455.53	0.00047
457.39	0.00041
459.25	0.00033
461.11	0.00028
462.96	0.00033
464.82	0.00043
466.68	0.00053
468.54	0.00056
470.40	0.00054
472.26	0.00051
474.12	0.00050
475.98	0.00053
477.84	0.00059
479.70	0.00067
481.56	0.00073
483.42	0.00074
485.28	0.00067
487.14	0.00056
488.99	0.00046
490.85	0.00043
492.71	0.00053
494.57	0.00068
496.43	0.00078
498.29	0.00078
500.15	0.00070
502.01	0.00062
503.87	0.00056
505.73	0.00054
507.59	0.00055
509.45	0.00058
511.31	0.00063
513.17	0.00067
515.02	0.00067
516.88	0.00062
518.74	0.00051
520.60	0.00042
522.46	0.00047
524.32	0.00059
526.18	0.00068
528.04	0.00070
529.90	0.00068
531.76	0.00064
533.62	0.00060
535.48	0.00054
537.34	0.00049
539.20	0.00049
541.06	0.00055
542.91	0.00064
544.77	0.00072
546.63	0.00072
548.49	0.00065
550.35	0.00058
552.21	0.00061
554.07	0.00072
555.93	0.00082
557.79	0.00085
559.65	0.00082
561.51	0.00076
563.37	0.00070
565.23	0.00067
567.09	0.00065
568.94	0.00066
570.80	0.00074
572.66	0.00084
574.52	0.00089
576.38	0.00083
578.24	0.00069
580.10	0.00059
581.96	0.00063
583.82	0.00075
585.68	0.00084
587.54	0.00082
589.40	0.00073
591.26	0.00066
593.12	0.00065
594.97	0.00069
596.83	0.00075
598.69	0.00083
600.55	0.00093
602.41	0.00098
604.27	0.00094
606.13	0.00081
607.99	0.00065
609.85	0.00059
611.71	0.00070
613.57	0.00087
615.43	0.00097
617.29	0.00096
619.15	0.00092
621.00	0.00091
622.86	0.00092
624.72	0.00094
626.58	0.00094
628.44	0.00096
630.30	0.00103
