Tiempo(s)	Voltaje(V)
0.000061	2.10815
0.000638	1.72455
0.001170	1.32322
0.001697	1.05569
0.002222	1.03635
0.002780	1.28777
0.003305	1.68104
0.003830	2.05896
0.004356	2.26123
0.004895	2.19436
0.005421	1.89379
0.005946	1.48602
0.006471	1.14109
0.006997	1.00649
0.007522	1.14190
0.008047	1.48119
0.008572	1.90024
0.009119	2.19919
0.009645	2.26123
0.010170	2.05976
0.010695	1.68588
0.011220	1.29100
0.011745	1.03877
0.012270	1.04199
0.012795	1.30066
0.013320	1.69232
0.013845	2.06867
0.014370	2.26526
0.014896	2.19758
0.015421	1.89299
0.015947	1.48521
0.016471	1.14190
0.016997	1.00488
0.017545	1.13948
0.018071	1.49649
0.018596	1.90185
0.019121	2.20403
0.019646	2.25640
0.020171	2.05896
0.020696	1.68346
0.021222	1.28858
0.021749	1.03957
0.022274	1.04199
0.022799	1.29744
0.023324	1.70038
0.023849	2.06706
0.024374	2.25881
0.024899	2.19114
0.025424	1.90346
0.025949	1.48441
0.026475	1.14028
0.027001	1.00488
0.027527	1.13867
0.028053	1.49247
0.028579	1.89057
0.029104	2.19597
0.029629	2.26365
0.030154	2.07270
0.030679	1.69877
0.031204	1.30147
0.031729	1.04441
0.032254	1.03796
0.032780	1.28616
0.033304	1.68185
0.033829	2.07109
0.034403	2.26687
0.034928	2.18147
0.035453	1.87123
0.035978	1.45702
0.036503	1.12820
0.037028	1.00810
0.037553	1.16365
0.038078	1.50374
0.038603	1.90588
0.039128	2.20242
0.039653	2.26284
0.040179	2.05573
0.040703	1.67379
0.041228	1.28294
0.041754	1.03635
0.042280	1.04521
0.042805	1.30147
0.043330	1.70521
0.043856	2.07431
0.044381	2.26365
0.044907	2.18953
0.045432	1.88654
0.045957	1.47877
0.046483	1.13545
0.047009	1.01052
0.047534	1.14190
0.048059	1.48844
0.048584	1.89540
0.049109	2.19597
0.049634	2.26123
0.050159	2.06787
0.050684	1.69232
0.051209	1.29583
0.051735	1.04199
0.052260	1.03796
0.052785	1.28938
0.053310	1.68668
0.053835	2.06545
0.054360	2.26284
0.054886	2.19919
0.055412	1.90104
0.055936	1.49488
0.056461	1.14592
0.056986	1.00810
0.057511	1.12900
0.058037	1.46668
0.058562	1.87768
0.059087	2.18953
0.059612	2.26607
0.060137	2.08398
0.060662	1.71005
0.061187	1.31194
0.061712	1.04521
0.062237	1.03474
0.062762	1.27408
0.063287	1.66735
0.063812	2.05009
0.064337	2.25720
0.064862	2.20886
0.065387	1.91877
0.065912	1.50697
0.066437	1.15479
0.066963	1.00649
0.067487	1.13948
0.068104	1.52389
0.068629	1.93085
0.069154	2.21450
0.069679	2.25640
0.070204	2.04123
0.070730	1.65848
0.071257	1.26683
0.071781	1.03313
0.072307	1.05166
0.072833	1.32242
0.073359	1.72294
0.073884	2.09285
0.074409	2.26848
0.074934	2.17744
0.075460	1.86398
0.075985	1.45621
0.076511	1.12336
0.077037	1.00569
0.077561	1.15801
0.078086	1.50455
0.078612	1.91152
0.079138	2.20645
0.079664	2.25881
0.080189	2.04848
0.080714	1.66896
0.081239	1.27730
0.081764	1.03635
0.082289	1.05085
0.082815	1.31114
0.083342	1.71327
0.083867	2.07431
0.084393	2.26607
0.084917	2.18469
0.085443	1.87768
0.085968	1.47152
0.086494	1.13464
0.087020	1.00649
0.087546	1.14592
0.088070	1.49408
0.088595	1.90507
0.089120	2.20564
0.089645	2.26123
0.090171	2.05734
0.090696	1.68749
0.091221	1.28858
0.091746	1.04441
0.092271	1.04038
0.092796	1.29664
0.093322	1.70199
0.093847	2.08076
0.094372	2.26365
0.094897	2.19919
0.095422	1.89863
0.095947	1.49085
0.096472	1.13867
0.096997	1.00730
0.097522	1.13706
0.098047	1.47796
0.098573	1.88574
0.099099	2.19275
0.099624	2.26934
0.100149	2.07431
0.100674	1.69796
0.101199	1.30066
0.101724	1.05166
0.102249	1.03635
0.102774	1.28294
0.103299	1.67057
0.103824	2.05412
0.104349	2.25962
0.104874	2.20242
0.105399	1.91232
0.105925	1.50374
0.106450	1.14753
0.106975	1.00488
0.107500	1.12498
0.108025	1.46346
0.108550	1.86962
0.109075	2.18711
0.109603	2.25640
0.110128	2.09043
0.110654	1.71569
0.111180	1.31758
