Frecuencia(Hz)	Magnitud(V)
0.00	0.00388
29.75	0.00418
59.49	0.00449
89.24	0.00518
118.99	0.00636
148.74	0.00943
178.48	0.02151
208.23	0.02832
237.98	0.01043
267.72	0.00556
297.47	0.00368
327.22	0.00278
356.97	0.00212
386.71	0.00173
416.46	0.00149
446.21	0.00128
475.95	0.00108
505.70	0.00097
535.45	0.00086
565.20	0.00080
594.94	0.00071
624.69	0.00065
654.44	0.00067
684.19	0.00063
713.93	0.00059
743.68	0.00058
773.43	0.00052
803.17	0.00053
832.92	0.00049
862.67	0.00050
892.42	0.00050
922.16	0.00052
