Tiempo(s)	Voltaje(V)
0.167557	1.07744
0.168083	2.24028
0.168609	1.00730
0.169134	2.27095
0.169659	1.02341
0.170184	2.22820
0.170709	1.09678
0.171234	2.11057
0.171759	1.24668
0.172284	1.94052
0.172810	1.43521
0.173335	1.74066
0.173860	1.64474
0.174385	1.52389
0.174910	1.85754
0.175435	1.32161
0.175960	2.04929
0.176485	1.14915
0.177010	2.18711
0.177535	1.04360
0.178061	2.25962
0.178587	1.00810
0.179112	2.26687
0.179637	1.04199
0.180162	2.20000
0.180687	1.14270
0.181212	2.05734
0.181737	1.31194
0.182262	1.87284
0.182787	1.51100
0.183312	1.66090
0.183837	1.72858
0.184363	1.45299
0.184887	1.93488
0.185413	1.25635
0.185938	2.10574
0.186463	1.10403
0.186988	2.21934
0.187513	1.02260
0.188039	2.27014
0.188565	1.00810
0.189090	2.24673
0.189615	1.07261
0.190140	2.15005
0.190665	1.19990
0.191190	1.99611
0.191715	1.38123
0.192240	1.79706
0.192766	1.58512
0.193290	1.58190
0.193815	1.81076
0.194340	1.36995
0.194865	2.00498
0.195390	1.19024
0.195915	2.15891
0.196441	1.06536
0.196968	2.24753
0.197494	1.00810
0.198019	2.26848
0.198545	1.02260
0.199070	2.22739
0.199595	1.10725
0.200120	2.10815
0.200645	1.25474
0.201170	1.92763
0.201695	1.44896
0.202220	1.72858
0.202745	1.66574
0.203271	1.51100
0.203796	1.87526
0.204322	1.31275
0.204847	2.05090
0.205373	1.14995
0.205898	2.18953
0.206423	1.04199
0.206948	2.26123
0.207474	1.00891
0.208000	2.26284
0.208525	1.04360
0.209050	2.19275
0.209575	1.14915
0.210100	2.05734
0.210625	1.31275
0.211150	1.84298
0.211676	1.51422
0.212200	1.65848
0.212725	1.73180
0.213251	1.43843
0.213776	1.94052
0.214301	1.25232
0.214827	2.10654
0.215352	1.10645
0.215878	2.22256
0.216404	1.03152
0.216929	2.27578
0.217454	1.00891
0.217979	2.24592
0.218504	1.06938
0.219029	2.15730
0.219554	1.19507
0.220079	1.99370
0.220604	1.37801
0.221129	1.79303
0.221655	1.58915
0.222179	1.57545
0.222704	1.80915
0.223229	1.36592
0.223755	1.99934
0.224281	1.19507
0.224806	2.15408
0.225331	1.06697
0.225856	2.24915
0.226381	1.00891
0.226907	2.27176
0.227432	1.02099
0.227957	2.22014
0.228483	1.10967
0.229009	2.10654
0.229534	1.25635
0.230059	1.93085
0.230584	1.44574
0.231109	1.72858
0.231634	1.66332
0.232159	1.50777
0.232684	1.87768
0.233209	1.30872
0.233734	2.05896
0.234259	1.14270
0.234784	2.19114
0.235309	1.03232
0.235834	2.26284
0.236360	1.00891
0.236886	2.25881
0.237411	1.04521
0.237936	2.18711
0.238461	1.15479
0.238986	2.04929
0.239511	1.32483
0.240037	1.86157
0.240562	1.51986
0.241087	1.65285
0.241612	1.74389
0.242137	1.43521
0.242662	1.94455
0.243188	1.24991
0.243713	2.11299
0.244238	1.09919
0.244763	2.22820
0.245288	1.02260
0.245813	2.27256
0.246338	1.01697
0.246863	2.24351
0.247388	1.08066
0.247914	2.14038
0.248438	1.21360
0.248963	1.98000
0.249488	1.39412
0.250013	1.78095
0.250539	1.60123
0.251064	1.57062
0.251589	1.82123
0.252114	1.35948
0.252639	2.01464
0.253164	1.17734
0.253689	2.16455
0.254214	1.06213
0.254739	2.25237
0.255264	1.00971
0.255790	2.26768
0.256316	1.02905
0.256841	2.21531
0.257366	1.10806
0.257891	2.09123
0.258416	1.27408
0.258941	1.91071
0.259466	1.47635
0.259991	1.70521
0.260517	1.69393
0.261042	1.48924
0.261568	1.89460
0.262093	1.29180
0.262618	2.07593
0.263143	1.13142
0.263669	2.20161
0.264193	1.03474
0.264718	2.27014
0.265243	1.01133
0.265768	2.25479
0.266293	1.04280
0.266819	2.17261
0.267344	1.17009
0.267869	2.02915
0.268394	1.33692
0.268919	1.83654
