Tiempo(s)	Voltaje(V)
0.000076	1.15317
0.000646	1.51019
0.001177	1.91474
0.001703	2.20483
0.002228	2.25398
0.002786	2.03076
0.003312	1.64152
0.003837	1.25393
0.004364	1.03152
0.004904	1.06616
0.005430	1.34578
0.005955	1.74953
0.006480	2.10735
0.007006	2.26768
0.007531	2.16777
0.008056	1.84298
0.008581	1.42474
0.009129	1.10000
0.009654	1.01052
0.010179	1.18540
0.010704	1.54886
0.011230	1.95664
0.011756	2.22336
0.012281	2.24995
0.012807	2.01787
0.013331	1.62540
0.013856	1.24427
0.014381	1.02583
0.014907	1.06536
0.015432	1.34739
0.015957	1.74791
0.016482	2.11460
0.017007	2.27095
0.017557	2.15488
0.018083	1.82284
0.018608	1.41346
0.019134	1.10081
0.019659	1.00971
0.020184	1.19185
0.020709	1.55289
0.021235	1.95261
0.021759	2.22498
0.022285	2.25076
0.022811	2.01626
0.023336	1.62460
0.023862	1.23455
0.024387	1.01616
0.024912	1.06294
0.025437	1.35062
0.025962	1.75355
0.026489	2.11299
0.027014	2.27095
0.027540	2.16294
0.028065	1.83573
0.028590	1.42635
0.029116	1.10242
0.029641	1.01213
0.030167	1.17654
0.030692	1.53839
0.031217	1.94374
0.031742	2.22175
0.032267	2.24995
0.032793	2.02592
0.033317	1.63749
0.033843	1.23863
0.034418	1.01938
0.034943	1.07502
0.035469	1.37237
0.035994	1.77934
0.036519	2.12749
0.037044	2.27014
0.037569	2.14924
0.038094	1.81398
0.038620	1.40057
0.039145	1.09114
0.039670	1.01374
0.040195	1.19185
0.040721	1.56175
0.041248	1.96147
0.041773	2.22739
0.042299	2.24431
0.042824	2.00739
0.043349	1.61171
0.043874	1.23294
0.044399	1.02180
0.044925	1.06777
0.045450	1.35867
0.045975	1.76403
0.046500	2.11460
0.047025	2.28223
0.047550	2.15972
0.048076	1.82848
0.048602	1.41910
0.049127	1.10161
0.049652	1.00891
0.050177	1.18298
0.050702	1.54886
0.051227	1.95422
0.051753	2.22336
0.052279	2.24673
0.052804	2.01787
0.053329	1.63104
0.053854	1.24507
0.054379	1.02502
0.054904	1.06052
0.055429	1.34498
0.055954	1.74711
0.056479	2.10574
0.057005	2.26848
0.057530	2.16697
0.058055	1.83976
0.058580	1.43441
0.059105	1.11128
0.059630	1.00891
0.060156	1.17412
0.060682	1.53194
0.061207	1.93408
0.061733	2.21611
0.062257	2.25398
0.062782	2.03479
0.063307	1.64715
0.063833	1.25957
0.064357	1.03066
0.064882	1.06133
0.065408	1.33128
0.065933	1.73180
0.066458	2.09607
0.066983	2.26687
0.067509	2.16213
0.068127	1.78981
0.068652	1.38123
0.069177	1.07986
0.069703	1.01938
0.070228	1.21038
0.070753	1.58592
0.071278	1.98242
0.071804	2.23787
0.072329	2.23706
0.072854	1.98725
0.073380	1.59076
0.073904	1.21199
0.074429	1.01697
0.074954	1.07341
0.075479	1.37962
0.076004	1.78659
0.076529	2.13635
0.077055	2.26768
0.077579	2.14763
0.078104	1.80673
0.078629	1.39896
0.079155	1.08953
0.079681	1.01535
0.080206	1.19990
0.080731	1.57303
0.081256	1.96711
0.081781	2.23142
0.082306	2.24431
0.082831	1.99934
0.083356	1.60768
0.083881	1.22810
0.084406	1.01938
0.084931	1.07100
0.085456	1.36592
0.085981	1.76967
0.086506	2.11702
0.087031	2.26934
0.087556	2.15488
0.088082	1.82204
0.088609	1.41265
0.089135	1.09517
0.089659	1.01294
0.090184	1.18621
0.090709	1.55450
0.091234	1.95261
0.091759	2.22498
0.092284	2.24995
0.092810	2.01545
0.093336	1.62218
0.093862	1.23863
0.094387	1.02502
0.094913	1.06616
0.095439	1.35062
0.095964	1.75839
0.096490	2.11138
0.097015	2.27498
0.097541	2.16213
0.098066	1.83654
0.098591	1.43038
0.099116	1.10564
0.099641	1.01052
0.100166	1.17734
0.100691	1.54161
0.101216	1.94294
0.101741	2.22095
0.102266	2.25398
0.102791	2.02351
0.103317	1.63829
0.103842	1.25474
0.104367	1.02663
0.104893	1.06052
0.105417	1.33450
0.105942	1.73825
0.106467	2.09848
0.106992	2.26687
0.107517	2.17583
0.108042	1.85426
0.108567	1.44493
0.109093	1.11289
0.109623	1.01052
0.110148	1.16848
0.110673	1.52389
0.111199	1.92924
0.111725	2.21692
0.112251	2.25317
0.112777	2.03479
0.113303	1.65285
0.113828	1.25877
0.114353	1.02986
0.114878	1.05569
0.115403	1.32645
0.115928	1.72616
0.116453	2.09123
0.116978	2.27256
0.117503	2.17986
0.118028	1.86398
0.118553	1.45621
0.119078	1.12417
0.119604	1.00005
0.120129	1.15720
0.120654	1.51019
0.121179	1.92280
0.121704	2.20725
0.122230	2.25398
0.122754	2.05171
0.123279	1.67138
0.123804	1.27488
0.124329	1.03313
0.124854	1.04763
0.125380	1.30953
0.125905	1.70844
0.126430	2.07995
0.126955	2.26526
0.127480	2.19114
0.128005	1.88251
0.128530	1.47313
0.129055	1.13142
0.129581	1.00649
0.130106	1.14995
0.130631	1.49247
0.131156	1.89782
0.131681	2.20483
0.132207	2.26687
0.132733	2.06304
0.133259	1.68668
0.133785	1.29100
0.134310	1.03796
0.134835	1.06616
0.135527	1.41426
0.136053	1.81801
0.136578	2.15166
0.137104	2.27498
0.137629	2.12427
0.138154	1.76403
0.138679	1.36431
0.139204	1.07341
0.139729	1.01938
0.140255	1.22810
0.140780	1.61090
0.141305	2.00175
0.141830	2.24592
0.142355	2.22981
0.142880	1.96550
0.143405	1.56900
0.143931	1.19588
0.144456	1.00569
0.144981	1.08228
0.145506	1.39896
0.146032	1.80753
0.146557	2.14199
0.147083	2.27095
0.147609	2.13071
0.148134	1.78095
0.148659	1.37962
0.149184	1.07825
0.149709	1.01455
0.150235	1.21602
0.150761	1.59479
0.151286	1.98806
0.151811	2.24028
0.152337	2.23626
0.152863	1.97758
0.153388	1.58270
0.153913	1.20715
0.154438	1.01294
0.154963	1.08147
0.155489	1.38768
0.156015	1.79142
0.156540	2.14038
0.157066	2.27095
0.157591	2.14038
0.158116	1.79787
0.158642	1.38929
0.159167	1.08469
0.159693	1.01616
0.160219	1.20554
0.160743	1.57626
0.161268	1.97678
0.161793	2.23867
0.162318	2.24753
0.162843	1.99047
0.163368	1.60607
0.163893	1.21682
0.164418	1.01616
0.164944	1.07664
0.165469	1.37317
0.165994	1.77531
0.166519	2.12910
0.167044	2.27256
0.167570	2.14763
0.168096	1.81559
0.168621	1.40540
0.169146	1.09275
0.169672	1.01052
0.170197	1.19507
0.170722	1.56336
0.171248	1.96469
0.171773	2.23062
0.172299	2.25398
0.172826	2.00739
0.173351	1.61171
0.173876	1.23052
0.174401	1.02019
0.174926	1.06858
0.175451	1.35787
0.175976	1.76564
0.176501	2.11863
0.177026	2.26934
0.177551	2.16052
0.178076	1.82929
0.178601	1.41668
0.179126	1.10242
0.179651	1.01052
0.180176	1.18298
0.180701	1.54483
0.181226	1.94858
0.181751	2.22256
0.182277	2.25317
0.182802	2.02028
0.183327	1.62943
0.183852	1.24749
0.184377	1.02422
0.184902	1.05488
0.185427	1.34095
0.185952	1.74228
0.186478	2.10896
0.187004	2.27176
0.187529	2.16858
0.188054	1.84379
0.188580	1.43602
0.189106	1.11209
0.189630	1.00407
0.190156	1.17009
0.190681	1.53194
0.191206	1.93569
0.191731	2.21692
0.192257	2.25720
0.192783	2.02995
0.193307	1.65043
0.193832	1.26119
0.194357	1.02583
0.194882	1.05488
0.195407	1.32725
0.195932	1.73180
0.196457	2.10332
0.196982	2.27095
0.197507	2.17744
0.198032	1.85915
0.198557	1.45218
0.199082	1.11934
0.199607	1.00649
0.200133	1.15881
0.200658	1.51583
0.201183	1.91877
0.201708	2.20725
0.202234	2.25801
0.202758	2.04607
0.203283	1.66735
0.203808	1.27972
0.204333	1.03474
0.204858	1.04199
