Tiempo(s)	Voltaje(V)
0.205383	1.30872
0.205908	1.71166
0.206433	2.08318
0.206958	2.26687
0.207483	2.18791
0.208008	1.87607
0.208533	1.46910
0.209058	1.12981
0.209583	1.00810
0.210108	1.14915
0.210633	1.49408
0.211159	1.90266
0.211683	2.20403
0.212209	2.26284
0.212734	2.05976
0.213260	1.68749
0.213785	1.28938
0.214310	1.04119
0.214835	1.04441
0.215361	1.29825
0.215886	1.69393
0.216411	2.06706
0.216937	2.26123
0.217462	2.19758
0.217987	1.89540
0.218512	1.48441
0.219037	1.14270
0.219563	1.00488
0.220088	1.13384
0.220613	1.47716
0.221139	1.88654
0.221664	2.19194
0.222190	2.26204
0.222715	2.07351
0.223240	1.70763
0.223765	1.30147
0.224290	1.04360
0.224815	1.03877
0.225340	1.27891
0.225865	1.67540
0.226390	2.05573
0.226915	2.26123
0.227441	2.20403
0.227966	1.90829
0.228491	1.50374
0.229016	1.15076
0.229541	1.00569
0.230066	1.12659
0.230591	1.46185
0.231117	1.87043
0.231642	2.18066
0.232167	2.26445
0.232693	2.08882
0.233219	1.71810
0.233745	1.31839
0.234270	1.05005
0.234795	1.03232
0.235320	1.26924
0.235845	1.66654
0.236370	2.04204
0.236896	2.25640
0.237421	2.21531
0.237947	1.91957
0.238472	1.51905
0.238998	1.16284
0.239523	1.00891
0.240048	1.11531
0.240573	1.44735
0.241099	1.85995
0.241624	2.17664
0.242149	2.26687
0.242674	2.09848
0.243199	1.73422
0.243724	1.33209
0.244249	1.05649
0.244775	1.02744
0.245299	1.26038
0.245824	1.64313
0.246349	2.03237
0.246874	2.25237
0.247399	2.21934
0.247925	1.93891
0.248449	1.54161
0.248976	1.17251
0.249501	1.01374
0.250026	1.10806
0.250551	1.43118
0.251076	1.84057
0.251602	2.16777
0.252127	2.26526
0.252652	2.10896
0.253177	1.75194
0.253703	1.34498
0.254229	1.07019
0.254755	1.02502
0.255280	1.24427
0.255806	1.63185
0.256331	2.02109
0.256856	2.25076
0.257382	2.22256
0.257906	1.95100
0.258431	1.54967
0.258956	1.18379
0.259481	1.01052
0.260006	1.09839
0.260532	1.41829
0.261057	1.82365
0.261582	2.15649
0.262107	2.27095
0.262632	2.11863
0.263157	1.76725
0.263682	1.36592
0.264207	1.07100
0.264732	1.01777
0.265257	1.21924
0.265782	1.60607
0.266307	2.00175
0.266832	2.24592
0.267357	2.23223
0.267882	1.96550
0.268408	1.56659
0.268933	1.19668
