Frecuencia(Hz)	Magnitud(V)
0.00	0.00220
1.86	0.00197
3.72	0.00183
5.58	0.00240
7.44	0.00302
9.30	0.00319
11.16	0.00294
13.01	0.00236
14.87	0.00135
16.73	0.00043
18.59	0.00185
20.45	0.00307
22.31	0.00375
24.17	0.00397
26.03	0.00387
27.89	0.00342
29.75	0.00256
31.61	0.00131
33.47	0.00077
35.32	0.00223
37.18	0.00368
39.04	0.00474
40.90	0.00518
42.76	0.00477
44.62	0.00339
46.48	0.00137
48.34	0.00151
50.20	0.00357
52.06	0.00520
53.92	0.00622
55.78	0.00662
57.64	0.00634
59.49	0.00529
61.35	0.00365
63.21	0.00283
65.07	0.00484
66.93	0.00789
68.79	0.01034
70.65	0.01126
72.51	0.01040
74.37	0.00788
76.23	0.00497
78.09	0.00587
79.95	0.00986
81.80	0.01399
83.66	0.01729
85.52	0.01963
87.38	0.02137
89.24	0.02125
91.10	0.01777
92.96	0.01864
94.82	0.03542
96.68	0.06892
98.54	0.11103
100.40	0.13581
102.26	0.11979
104.12	0.06682
105.97	0.01418
107.83	0.03926
109.69	0.05092
111.55	0.04720
113.41	0.03981
115.27	0.03384
117.13	0.02946
118.99	0.02383
120.85	0.01702
122.71	0.01202
124.57	0.01135
126.43	0.01395
128.28	0.01640
130.14	0.01693
132.00	0.01537
133.86	0.01238
135.72	0.00930
137.58	0.00785
139.44	0.00829
141.30	0.00929
143.16	0.00995
145.02	0.01008
146.88	0.00966
148.74	0.00863
150.60	0.00714
152.45	0.00586
154.31	0.00577
156.17	0.00683
158.03	0.00795
159.89	0.00830
161.75	0.00772
163.61	0.00651
165.47	0.00536
167.33	0.00494
169.19	0.00526
171.05	0.00578
172.91	0.00614
174.76	0.00626
176.62	0.00608
178.48	0.00553
180.34	0.00465
182.20	0.00379
184.06	0.00354
185.92	0.00407
187.78	0.00473
189.64	0.00496
191.50	0.00465
193.36	0.00399
195.22	0.00337
197.08	0.00315
198.93	0.00337
200.79	0.00375
202.65	0.00408
204.51	0.00427
206.37	0.00428
208.23	0.00406
210.09	0.00367
211.95	0.00326
213.81	0.00316
215.67	0.00347
217.53	0.00388
219.39	0.00403
221.24	0.00381
223.10	0.00335
224.96	0.00293
226.82	0.00280
228.68	0.00289
230.54	0.00303
232.40	0.00317
234.26	0.00331
236.12	0.00338
237.98	0.00325
239.84	0.00291
241.70	0.00252
243.56	0.00240
245.41	0.00263
247.27	0.00292
249.13	0.00304
250.99	0.00293
252.85	0.00267
254.71	0.00243
256.57	0.00234
258.43	0.00239
260.29	0.00249
262.15	0.00260
264.01	0.00270
265.87	0.00272
267.72	0.00261
269.58	0.00235
271.44	0.00207
273.30	0.00203
275.16	0.00231
277.02	0.00265
278.88	0.00280
280.74	0.00267
282.60	0.00239
284.46	0.00216
286.32	0.00207
288.18	0.00209
290.04	0.00210
291.89	0.00211
293.75	0.00213
295.61	0.00213
297.47	0.00204
299.33	0.00184
301.19	0.00162
303.05	0.00159
304.91	0.00180
306.77	0.00206
308.63	0.00218
310.49	0.00211
312.35	0.00194
314.20	0.00179
316.06	0.00174
317.92	0.00177
319.78	0.00180
321.64	0.00183
323.50	0.00190
325.36	0.00198
327.22	0.00201
329.08	0.00189
330.94	0.00167
332.80	0.00154
334.66	0.00161
336.52	0.00180
338.37	0.00196
340.23	0.00198
342.09	0.00186
343.95	0.00171
345.81	0.00160
347.67	0.00154
349.53	0.00150
351.39	0.00151
353.25	0.00156
355.11	0.00163
356.97	0.00162
358.83	0.00152
360.68	0.00138
362.54	0.00133
364.40	0.00140
366.26	0.00152
368.12	0.00159
369.98	0.00160
371.84	0.00154
373.70	0.00147
375.56	0.00141
377.42	0.00133
379.28	0.00124
381.14	0.00120
383.00	0.00125
384.85	0.00137
386.71	0.00145
388.57	0.00145
390.43	0.00140
392.29	0.00137
394.15	0.00142
396.01	0.00150
397.87	0.00152
399.73	0.00149
401.59	0.00141
403.45	0.00135
405.31	0.00135
407.16	0.00138
409.02	0.00140
410.88	0.00141
412.74	0.00143
414.60	0.00145
416.46	0.00142
418.32	0.00135
420.18	0.00125
422.04	0.00119
423.90	0.00120
425.76	0.00126
427.62	0.00130
429.48	0.00131
431.33	0.00129
433.19	0.00122
435.05	0.00114
436.91	0.00107
438.77	0.00103
440.63	0.00106
442.49	0.00115
444.35	0.00124
446.21	0.00124
448.07	0.00114
449.93	0.00099
451.79	0.00089
453.64	0.00090
455.50	0.00098
457.36	0.00105
459.22	0.00105
461.08	0.00101
462.94	0.00099
464.80	0.00102
466.66	0.00105
468.52	0.00106
470.38	0.00106
472.24	0.00107
474.10	0.00111
475.95	0.00111
477.81	0.00108
479.67	0.00105
481.53	0.00109
483.39	0.00118
485.25	0.00124
487.11	0.00121
488.97	0.00109
490.83	0.00099
492.69	0.00097
494.55	0.00099
496.41	0.00098
498.27	0.00094
500.12	0.00089
501.98	0.00089
503.84	0.00092
505.70	0.00096
507.56	0.00094
509.42	0.00086
511.28	0.00079
513.14	0.00078
515.00	0.00081
516.86	0.00083
518.72	0.00084
520.58	0.00085
522.43	0.00089
524.29	0.00094
526.15	0.00098
528.01	0.00097
529.87	0.00095
531.73	0.00095
533.59	0.00094
535.45	0.00088
537.31	0.00079
539.17	0.00073
541.03	0.00075
542.89	0.00083
544.75	0.00091
546.60	0.00094
548.46	0.00093
550.32	0.00089
552.18	0.00083
554.04	0.00077
555.90	0.00071
557.76	0.00070
559.62	0.00073
561.48	0.00079
563.34	0.00083
565.20	0.00082
567.06	0.00076
568.91	0.00066
570.77	0.00058
572.63	0.00055
574.49	0.00061
576.35	0.00070
578.21	0.00077
580.07	0.00080
581.93	0.00081
583.79	0.00080
585.65	0.00077
587.51	0.00072
589.37	0.00070
591.23	0.00074
593.08	0.00080
594.94	0.00082
596.80	0.00077
598.66	0.00067
600.52	0.00060
602.38	0.00058
604.24	0.00060
606.10	0.00063
607.96	0.00064
609.82	0.00068
611.68	0.00074
613.54	0.00079
615.39	0.00078
617.25	0.00070
619.11	0.00062
620.97	0.00061
622.83	0.00066
624.69	0.00068
626.55	0.00063
628.41	0.00053
630.27	0.00043
632.13	0.00041
633.99	0.00048
635.85	0.00057
637.71	0.00063
639.56	0.00064
641.42	0.00062
643.28	0.00060
645.14	0.00057
647.00	0.00052
648.86	0.00047
650.72	0.00048
652.58	0.00055
654.44	0.00063
656.30	0.00066
658.16	0.00064
660.02	0.00061
661.87	0.00059
663.73	0.00060
665.59	0.00063
667.45	0.00066
669.31	0.00067
671.17	0.00068
673.03	0.00069
674.89	0.00066
676.75	0.00060
678.61	0.00052
680.47	0.00047
682.33	0.00045
684.19	0.00047
686.04	0.00048
687.90	0.00047
689.76	0.00046
691.62	0.00046
693.48	0.00046
695.34	0.00044
697.20	0.00041
699.06	0.00039
700.92	0.00040
702.78	0.00043
704.64	0.00044
706.50	0.00041
708.35	0.00037
710.21	0.00037
712.07	0.00041
713.93	0.00046
715.79	0.00048
717.65	0.00046
719.51	0.00041
721.37	0.00037
723.23	0.00036
725.09	0.00037
726.95	0.00039
728.81	0.00043
730.67	0.00047
732.52	0.00050
734.38	0.00049
736.24	0.00045
738.10	0.00041
739.96	0.00039
741.82	0.00041
743.68	0.00041
745.54	0.00039
747.40	0.00035
749.26	0.00031
751.12	0.00029
752.98	0.00029
754.83	0.00030
756.69	0.00029
758.55	0.00027
760.41	0.00028
762.27	0.00032
764.13	0.00033
765.99	0.00032
767.85	0.00030
769.71	0.00029
771.57	0.00029
773.43	0.00031
775.29	0.00034
777.15	0.00035
779.00	0.00033
780.86	0.00027
782.72	0.00023
784.58	0.00023
786.44	0.00028
788.30	0.00034
790.16	0.00038
792.02	0.00038
793.88	0.00035
795.74	0.00030
797.60	0.00028
799.46	0.00029
801.31	0.00032
803.17	0.00034
805.03	0.00035
806.89	0.00034
808.75	0.00032
810.61	0.00029
812.47	0.00025
814.33	0.00025
816.19	0.00028
818.05	0.00033
819.91	0.00035
821.77	0.00032
823.63	0.00022
825.48	0.00012
827.34	0.00011
829.20	0.00014
831.06	0.00020
832.92	0.00024
834.78	0.00022
836.64	0.00016
838.50	0.00014
840.36	0.00015
842.22	0.00013
844.08	0.00011
845.94	0.00014
847.79	0.00020
849.65	0.00025
851.51	0.00029
853.37	0.00030
855.23	0.00026
857.09	0.00018
858.95	0.00011
860.81	0.00010
862.67	0.00014
864.53	0.00018
866.39	0.00019
868.25	0.00016
870.11	0.00013
871.96	0.00011
873.82	0.00015
875.68	0.00019
877.54	0.00020
879.40	0.00020
881.26	0.00021
883.12	0.00023
884.98	0.00021
886.84	0.00015
888.70	0.00009
890.56	0.00007
892.42	0.00010
894.27	0.00012
896.13	0.00011
897.99	0.00009
899.85	0.00006
901.71	0.00005
903.57	0.00009
905.43	0.00014
907.29	0.00014
909.15	0.00009
911.01	0.00004
912.87	0.00008
914.73	0.00009
916.59	0.00003
918.44	0.00005
920.30	0.00009
922.16	0.00008
924.02	0.00004
925.88	0.00001
927.74	0.00002
929.60	0.00001
931.46	0.00005
933.32	0.00008
935.18	0.00009
937.04	0.00007
938.90	0.00004
940.75	0.00002
942.61	0.00006
944.47	0.00009
946.33	0.00008
948.19	0.00004
950.05	0.00003
