Frecuencia(Hz)	Magnitud(V)
0.00	0.00055
3.72	0.00035
7.44	0.00010
11.16	0.00008
14.88	0.00021
18.59	0.00031
22.31	0.00025
26.03	0.00002
29.75	0.00008
33.47	0.00027
37.19	0.00034
40.91	0.00032
44.63	0.00033
48.34	0.00050
52.06	0.00051
55.78	0.00030
59.50	0.00032
63.22	0.00044
66.94	0.00037
70.66	0.00038
74.38	0.00031
78.09	0.00046
81.81	0.00070
85.53	0.00051
89.25	0.00047
92.97	0.00066
96.69	0.00067
100.41	0.00058
104.13	0.00044
107.84	0.00066
111.56	0.00082
115.28	0.00053
119.00	0.00060
122.72	0.00106
126.44	0.00115
130.16	0.00097
133.88	0.00064
137.59	0.00118
141.31	0.00145
145.03	0.00099
148.75	0.00102
152.47	0.00183
156.19	0.00204
159.91	0.00184
163.63	0.00135
167.34	0.00258
171.06	0.00323
174.78	0.00257
178.50	0.00219
182.22	0.00538
185.94	0.00596
189.66	0.00994
193.38	0.00330
197.09	0.18668
200.81	0.31189
204.53	0.13110
208.25	0.00248
211.97	0.00877
215.69	0.00585
219.41	0.00470
223.13	0.00209
226.84	0.00304
230.56	0.00325
234.28	0.00229
238.00	0.00146
241.72	0.00218
245.44	0.00233
249.16	0.00186
252.88	0.00107
256.59	0.00149
260.31	0.00194
264.03	0.00142
267.75	0.00092
271.47	0.00134
275.19	0.00146
278.91	0.00112
282.63	0.00079
286.34	0.00118
290.06	0.00129
293.78	0.00083
297.50	0.00061
301.22	0.00090
304.94	0.00102
308.66	0.00084
312.38	0.00057
316.09	0.00075
319.81	0.00097
323.53	0.00083
327.25	0.00059
330.97	0.00070
334.69	0.00102
338.41	0.00087
342.13	0.00044
345.84	0.00067
349.56	0.00083
353.28	0.00049
357.00	0.00041
360.72	0.00067
364.44	0.00076
368.16	0.00063
371.88	0.00041
375.59	0.00059
379.31	0.00081
383.03	0.00060
386.75	0.00032
390.47	0.00042
394.19	0.00058
397.91	0.00057
401.63	0.00037
405.34	0.00040
409.06	0.00054
412.78	0.00045
416.50	0.00031
420.22	0.00045
423.94	0.00060
427.66	0.00049
431.38	0.00026
435.09	0.00025
438.81	0.00044
442.53	0.00039
446.25	0.00028
449.97	0.00039
453.69	0.00030
457.41	0.00015
461.13	0.00012
464.84	0.00048
468.56	0.00051
472.28	0.00037
476.00	0.00035
479.72	0.00032
483.44	0.00034
487.16	0.00036
490.88	0.00033
494.59	0.00039
498.31	0.00036
502.03	0.00025
505.75	0.00005
509.47	0.00021
513.19	0.00033
516.91	0.00028
520.63	0.00022
524.34	0.00036
528.06	0.00048
531.78	0.00037
535.50	0.00024
539.22	0.00029
542.94	0.00032
546.66	0.00031
550.38	0.00019
554.09	0.00017
557.81	0.00029
561.53	0.00022
565.25	0.00014
568.97	0.00019
572.69	0.00017
576.41	0.00017
580.13	0.00007
583.84	0.00018
587.56	0.00038
591.28	0.00036
595.00	0.00020
598.72	0.00011
602.44	0.00007
606.16	0.00013
609.88	0.00021
613.60	0.00030
617.31	0.00028
621.03	0.00017
624.75	0.00019
628.47	0.00044
632.19	0.00041
635.91	0.00028
639.63	0.00031
643.35	0.00040
647.06	0.00046
650.78	0.00040
654.50	0.00022
658.22	0.00016
661.94	0.00021
665.66	0.00022
669.38	0.00021
673.10	0.00025
676.81	0.00016
680.53	0.00006
684.25	0.00006
687.97	0.00025
691.69	0.00037
695.41	0.00026
699.13	0.00020
702.85	0.00029
706.56	0.00037
710.28	0.00035
714.00	0.00020
717.72	0.00016
721.44	0.00019
725.16	0.00012
728.88	0.00018
732.60	0.00025
736.31	0.00012
740.03	0.00004
743.75	0.00017
747.47	0.00032
751.19	0.00026
754.91	0.00007
758.63	0.00008
762.35	0.00008
766.06	0.00013
769.78	0.00014
773.50	0.00017
777.22	0.00020
780.94	0.00006
784.66	0.00007
788.38	0.00013
792.10	0.00028
795.81	0.00026
799.53	0.00017
803.25	0.00020
806.97	0.00018
810.69	0.00008
814.41	0.00003
818.13	0.00009
821.85	0.00017
825.56	0.00012
829.28	0.00006
833.00	0.00019
836.72	0.00018
840.44	0.00009
844.16	0.00010
847.88	0.00022
851.60	0.00029
855.31	0.00005
859.03	0.00011
862.75	0.00002
866.47	0.00008
870.19	0.00004
873.91	0.00003
877.63	0.00006
881.35	0.00012
885.06	0.00004
888.78	0.00014
892.50	0.00010
896.22	0.00008
899.94	0.00018
903.66	0.00026
907.38	0.00008
911.10	0.00004
914.81	0.00008
918.53	0.00011
922.25	0.00006
925.97	0.00004
929.69	0.00005
933.41	0.00003
937.13	0.00004
940.85	0.00014
944.56	0.00014
948.28	0.00001
