Tiempo(s)	Voltaje(V)
0.000063	1.28616
0.000648	1.71085
0.001182	2.08318
0.001708	2.27337
0.002234	2.16697
0.002792	1.85346
0.003317	1.44327
0.003842	1.11692
0.004368	1.00810
0.004908	1.16929
0.005434	1.53114
0.005959	1.93891
0.006484	2.21934
0.007009	2.24915
0.007534	2.02512
0.008060	1.64554
0.008585	1.25232
0.009129	1.02099
0.009655	1.06616
0.010180	1.34256
0.010705	1.74872
0.011230	2.10976
0.011755	2.26848
0.012280	2.16938
0.012805	1.84540
0.013331	1.43441
0.013856	1.10806
0.014381	1.00891
0.014906	1.16848
0.015431	1.53114
0.015956	1.93327
0.016481	2.22336
0.017006	2.25317
0.017554	2.01464
0.018079	1.62782
0.018604	1.25071
0.019129	1.02824
0.019655	1.06213
0.020181	1.34739
0.020706	1.75033
0.021232	2.10574
0.021756	2.26768
0.022282	2.16697
0.022807	1.83976
0.023332	1.43602
0.023857	1.10967
0.024382	1.00810
0.024908	1.17332
0.025433	1.53194
0.025958	1.93730
0.026486	2.21450
0.027012	2.25156
0.027537	2.02431
0.028063	1.64554
0.028588	1.25716
0.029113	1.03066
0.029639	1.05891
0.030164	1.33047
0.030689	1.73583
0.031214	2.10090
0.031739	2.27176
0.032265	2.17261
0.032789	1.85588
0.033314	1.44493
0.033840	1.10403
0.034415	1.00166
0.034940	1.18943
0.035465	1.55692
0.035991	1.96066
0.036515	2.22820
0.037040	2.24753
0.037565	2.00820
0.038090	1.62218
0.038615	1.23863
0.039141	1.02180
0.039666	1.06697
0.040191	1.34981
0.040716	1.75436
0.041241	2.11540
0.041766	2.27176
0.042291	2.16455
0.042816	1.83412
0.043341	1.42313
0.043866	1.10483
0.044391	1.00327
0.044916	1.18137
0.045441	1.54242
0.045966	1.93891
0.046491	2.21611
0.047017	2.25640
0.047542	2.02673
0.048067	1.63829
0.048592	1.25152
0.049117	1.02824
0.049643	1.05649
0.050167	1.33531
0.050692	1.73341
0.051217	2.10171
0.051743	2.27014
0.052268	2.17019
0.052793	1.84701
0.053318	1.44166
0.053843	1.11128
0.054369	1.00730
0.054893	1.16204
0.055419	1.51905
0.055944	1.92763
0.056469	2.21209
0.056994	2.26043
0.057519	2.03881
0.058044	1.65526
0.058569	1.26360
0.059094	1.03066
0.059619	1.04844
0.060145	1.32242
0.060671	1.72294
0.061197	2.09043
0.061721	2.26687
0.062246	2.18228
0.062771	1.86801
0.063296	1.46185
0.063821	1.12256
0.064347	1.00569
0.064871	1.15398
0.065397	1.50536
0.065922	1.91071
0.066447	2.20725
0.066973	2.25962
0.067498	2.02512
0.068115	1.59962
0.068640	1.22327
0.069166	1.01858
0.069693	1.07422
0.070218	1.36834
0.070743	1.77934
0.071268	2.12427
0.071794	2.27095
0.072319	2.15166
0.072844	1.81559
0.073369	1.40298
0.073894	1.09436
0.074419	1.01535
0.074944	1.19185
0.075469	1.55611
0.075994	1.95261
0.076519	2.23223
0.077044	2.24673
0.077569	2.00820
0.078095	1.61896
0.078620	1.23213
0.079145	1.01938
0.079670	1.07019
0.080196	1.35545
0.080722	1.76000
0.081247	2.11782
0.081772	2.27256
0.082298	2.16052
0.082824	1.82043
0.083350	1.41829
0.083875	1.10242
0.084400	1.00810
0.084925	1.18298
0.085450	1.54725
0.085975	1.94777
0.086500	2.22014
0.087025	2.25156
0.087551	2.01948
0.088077	1.62943
0.088601	1.24829
0.089126	1.02744
0.089652	1.06213
0.090178	1.34336
0.090703	1.74872
0.091228	2.10654
0.091754	2.26445
0.092279	2.16858
0.092804	1.84701
0.093329	1.43843
0.093854	1.10725
0.094379	1.01133
0.094905	1.16687
0.095429	1.52711
0.095954	1.93408
0.096479	2.20886
0.097004	2.25398
0.097529	2.03237
0.098054	1.65365
0.098579	1.26038
0.099104	1.03313
0.099629	1.05408
0.100155	1.32564
0.100681	1.73422
0.101207	2.09285
0.101731	2.26607
0.102256	2.17744
0.102781	1.85588
0.103306	1.45863
0.103831	1.11934
0.104357	1.00810
0.104882	1.15962
0.105407	1.51341
0.105933	1.91877
0.106458	2.21047
0.106983	2.25720
0.107509	2.04607
0.108034	1.66332
0.108559	1.27408
0.109084	1.04360
0.109613	1.04924
0.110137	1.31436
0.110662	1.70521
0.111188	2.08721
0.111713	2.26768
0.112238	2.18228
0.112763	1.86801
0.113288	1.46668
0.113813	1.12981
0.114338	1.00810
0.114863	1.15237
0.115388	1.49649
0.115913	1.90427
0.116439	2.20483
0.116964	2.27337
0.117490	2.05654
0.118016	1.67621
0.118541	1.28616
0.119067	1.03474
0.119593	1.04441
0.120120	1.30469
0.120645	1.70199
0.121170	2.07351
0.121695	2.26365
0.122221	2.19275
0.122746	1.88654
0.123272	1.47877
0.123797	1.14028
0.124322	1.00569
0.124848	1.14592
0.125374	1.48683
0.125898	1.89379
0.126423	2.19275
0.126948	2.26365
0.127473	2.07029
0.127998	1.69474
0.128523	1.29100
0.129049	1.04038
0.129574	1.03957
0.130099	1.29341
0.130624	1.68507
0.131149	2.05815
0.131675	2.26445
0.132200	2.20161
0.132725	1.90185
0.133250	1.49408
0.133775	1.15076
0.134300	1.00569
0.134825	1.16526
0.135517	1.59962
0.136042	1.99450
0.136568	2.23948
0.137093	2.23142
0.137618	1.97678
0.138144	1.57464
0.138669	1.20232
0.139195	1.01616
0.139719	1.08308
0.140245	1.38929
0.140770	1.79867
0.141295	2.13957
0.141820	2.26848
0.142345	2.14038
0.142871	1.79464
0.143396	1.38123
0.143921	1.08711
0.144447	1.01535
0.144972	1.20957
0.145497	1.58190
0.146022	1.97597
0.146547	2.23787
0.147072	2.23867
0.147597	1.98967
0.148122	1.59801
0.148647	1.21602
0.149172	1.01777
0.149697	1.07502
0.150222	1.37156
0.150747	1.77934
0.151273	2.12910
0.151798	2.27256
0.152324	2.14924
0.152850	1.80915
0.153375	1.40137
0.153900	1.09114
0.154425	1.01294
0.154951	1.19346
0.155477	1.56659
0.156002	1.96872
0.156527	2.23062
0.157052	2.24351
0.157578	2.00175
0.158103	1.60607
0.158628	1.22891
0.159154	1.01938
0.159680	1.07019
0.160205	1.35142
0.160730	1.76161
0.161255	2.11943
0.161781	2.26934
0.162306	2.15649
0.162831	1.82526
0.163356	1.41668
0.163881	1.09839
0.164407	1.00971
0.164931	1.18137
0.165456	1.55128
0.165982	1.95341
0.166507	2.22417
0.167033	2.25640
0.167558	2.02028
0.168083	1.62379
0.168608	1.24024
0.169133	1.02502
0.169658	1.06374
0.170183	1.34417
0.170708	1.75114
0.171234	2.10815
0.171758	2.26848
0.172284	2.16697
0.172809	1.84137
0.173334	1.43360
0.173859	1.10564
0.174385	1.01938
0.174910	1.17090
0.175435	1.53114
0.175960	1.94213
0.176485	2.21934
0.177010	2.24995
0.177536	2.02431
0.178061	1.64474
0.178586	1.25393
0.179111	1.02824
0.179636	1.05810
0.180161	1.33047
0.180687	1.73019
0.181212	2.09687
0.181737	2.26768
0.182263	2.17261
0.182790	1.85346
0.183314	1.44327
0.183839	1.11611
0.184364	1.00730
0.184889	1.16284
0.185414	1.51905
0.185939	1.92521
0.186464	2.20564
0.186989	2.25640
0.187514	2.04445
0.188039	1.66412
0.188564	1.26924
0.189090	1.03152
0.189615	1.05005
0.190141	1.31678
0.190667	1.71891
0.191193	2.08882
0.191718	2.26607
0.192243	2.19033
0.192768	1.87123
0.193293	1.46024
0.193818	1.12498
0.194343	1.00810
0.194869	1.15398
0.195393	1.49972
0.195919	1.91071
0.196445	2.20725
0.196970	2.26123
0.197495	2.05573
0.198021	1.67379
0.198545	1.28213
0.199070	1.03635
0.199596	1.04602
0.200120	1.30066
0.200645	1.70038
0.201170	2.07190
0.201695	2.26284
0.202220	2.19355
0.202745	1.88654
0.203270	1.48038
0.203795	1.13948
0.204320	1.00649
0.204845	1.13948
0.205371	1.48199
0.205896	1.89218
0.206421	2.19436
0.206946	2.26284
0.207471	2.07270
0.207996	1.69474
0.208521	1.30066
0.209046	1.04441
0.209571	1.03796
0.210096	1.29261
0.210621	1.67782
0.211146	2.05654
0.211672	2.25881
0.212198	2.20161
0.212722	1.90427
0.213247	1.49730
0.213772	1.15156
0.214297	1.00649
0.214822	1.12820
0.215348	1.46588
0.215873	1.87446
0.216398	2.18469
0.216923	2.26687
0.217449	2.08640
0.217973	1.71488
0.218498	1.31436
0.219024	1.04602
0.219549	1.03393
0.220074	1.27166
0.220599	1.66493
0.221124	2.04365
0.221649	2.25317
0.222174	2.21047
0.222699	1.92441
0.223225	1.51261
0.223750	1.15720
0.224275	1.00810
0.224800	1.12014
0.225325	1.45057
0.225850	1.85673
0.226375	2.17825
0.226900	2.26365
0.227425	2.09687
0.227950	1.73100
0.228475	1.32645
0.229001	1.05488
0.229526	1.02422
0.230051	1.26038
0.230576	1.64635
0.231101	2.03479
0.231626	2.25317
0.232151	2.21934
0.232676	1.93891
0.233201	1.53839
0.233727	1.17251
0.234252	1.00971
0.234777	1.10967
0.235302	1.43279
0.235827	1.83654
0.236352	2.16536
0.236878	2.27095
0.237403	2.10896
0.237928	1.74791
0.238454	1.34256
0.238978	1.06213
0.239504	1.02260
0.240029	1.24427
0.240554	1.62621
0.241079	2.02028
0.241604	2.24753
0.242129	2.22900
0.242654	1.95261
0.243179	1.56900
0.243705	1.18540
0.244230	1.01213
0.244755	1.10000
0.245280	1.41346
0.245805	1.82445
0.246330	2.15569
0.246855	2.27498
0.247380	2.12104
0.247905	1.76564
0.248430	1.36351
0.248955	1.06938
0.249480	1.02583
0.250006	1.22810
0.250531	1.61332
0.251056	2.00336
0.251581	2.24190
0.252106	2.22739
0.252632	1.96630
0.253158	1.56498
0.253683	1.19507
0.254208	1.01374
0.254733	1.09114
0.255258	1.39976
0.255783	1.80431
0.256308	2.14924
0.256833	2.27498
0.257358	2.13635
0.257883	1.78739
0.258408	1.37962
0.258933	1.07583
0.259458	1.01535
0.259983	1.22085
0.260509	1.59317
0.261034	1.98564
0.261559	2.23787
0.262084	2.23545
0.262610	1.98403
0.263135	1.58351
0.263662	1.20796
0.264187	1.01697
0.264713	1.08147
0.265237	1.38687
0.265763	1.79062
0.266289	2.13796
0.266814	2.27014
0.267339	2.13957
0.267864	1.80351
0.268389	1.39412
0.268915	1.08953
