Frecuencia(Hz)	Magnitud(V)
180.35	0.00082
181.28	0.00106
182.21	0.00136
183.14	0.00164
184.07	0.00178
185.00	0.00169
185.93	0.00143
186.86	0.00117
187.79	0.00117
188.72	0.00158
189.65	0.00247
190.58	0.00357
191.51	0.00417
192.44	0.00329
193.37	0.00078
194.30	0.00729
195.23	0.01784
196.16	0.03137
197.09	0.04633
198.02	0.06058
198.95	0.07176
199.88	0.07794
200.81	0.07801
201.74	0.07203
202.67	0.06116
203.60	0.04741
204.53	0.03306
205.46	0.02021
206.38	0.01030
207.31	0.00387
208.24	0.00070
209.17	0.00018
210.10	0.00049
211.03	0.00144
211.96	0.00216
212.89	0.00239
213.82	0.00219
214.75	0.00178
215.68	0.00140
216.61	0.00118
217.54	0.00112
218.47	0.00115
219.40	0.00115
220.33	0.00107
221.26	0.00091
222.19	0.00070
223.12	0.00053
224.05	0.00044
224.98	0.00048
225.91	0.00058
226.84	0.00071
227.77	0.00080
228.70	0.00084
229.63	0.00083
230.56	0.00080
231.49	0.00075
232.42	0.00071
233.35	0.00067
234.27	0.00061
235.20	0.00054
236.13	0.00047
237.06	0.00041
237.99	0.00039
238.92	0.00040
239.85	0.00042
240.78	0.00046
241.71	0.00050
242.64	0.00052
243.57	0.00052
244.50	0.00051
245.43	0.00049
246.36	0.00047
247.29	0.00045
248.22	0.00044
249.15	0.00042
250.08	0.00039
251.01	0.00036
251.94	0.00034
252.87	0.00032
253.80	0.00032
254.73	0.00035
255.66	0.00038
256.59	0.00043
257.52	0.00046
258.45	0.00048
259.38	0.00049
260.31	0.00048
261.23	0.00046
262.16	0.00042
263.09	0.00038
264.02	0.00034
264.95	0.00029
265.88	0.00026
266.81	0.00024
267.74	0.00024
268.67	0.00026
269.60	0.00029
270.53	0.00031
271.46	0.00033
272.39	0.00034
273.32	0.00034
274.25	0.00033
275.18	0.00031
276.11	0.00028
277.04	0.00026
277.97	0.00024
278.90	0.00021
279.83	0.00019
280.76	0.00016
281.69	0.00013
282.62	0.00012
283.55	0.00012
284.48	0.00015
285.41	0.00018
286.34	0.00022
287.27	0.00025
288.20	0.00027
289.12	0.00028
290.05	0.00028
290.98	0.00027
291.91	0.00025
292.84	0.00022
293.77	0.00020
294.70	0.00017
295.63	0.00015
296.56	0.00013
297.49	0.00014
298.42	0.00016
299.35	0.00018
300.28	0.00021
301.21	0.00023
302.14	0.00024
303.07	0.00025
304.00	0.00025
304.93	0.00025
305.86	0.00025
306.79	0.00024
307.72	0.00023
308.65	0.00021
309.58	0.00019
310.51	0.00016
311.44	0.00014
312.37	0.00013
313.30	0.00013
314.23	0.00014
315.16	0.00016
316.09	0.00018
317.01	0.00020
317.94	0.00022
318.87	0.00023
319.80	0.00023
320.73	0.00023
321.66	0.00022
322.59	0.00020
323.52	0.00019
324.45	0.00017
325.38	0.00016
326.31	0.00016
327.24	0.00016
328.17	0.00018
329.10	0.00019
330.03	0.00019
330.96	0.00019
331.89	0.00019
332.82	0.00019
333.75	0.00018
334.68	0.00017
335.61	0.00017
336.54	0.00016
337.47	0.00015
338.40	0.00014
339.33	0.00014
340.26	0.00013
341.19	0.00013
342.12	0.00013
343.05	0.00013
343.97	0.00014
344.90	0.00015
345.83	0.00017
346.76	0.00018
347.69	0.00018
348.62	0.00019
349.55	0.00018
350.48	0.00017
351.41	0.00015
352.34	0.00013
353.27	0.00011
354.20	0.00010
355.13	0.00009
356.06	0.00009
356.99	0.00009
357.92	0.00011
358.85	0.00012
359.78	0.00013
360.71	0.00015
361.64	0.00015
362.57	0.00016
363.50	0.00016
364.43	0.00016
365.36	0.00016
366.29	0.00016
367.22	0.00016
368.15	0.00016
369.08	0.00016
370.01	0.00016
370.94	0.00016
371.86	0.00016
372.79	0.00016
373.72	0.00016
374.65	0.00016
375.58	0.00017
376.51	0.00018
377.44	0.00019
378.37	0.00020
379.30	0.00020
380.23	0.00019
381.16	0.00018
382.09	0.00016
383.02	0.00014
383.95	0.00012
384.88	0.00010
385.81	0.00008
386.74	0.00007
387.67	0.00007
388.60	0.00008
389.53	0.00010
390.46	0.00011
391.39	0.00013
392.32	0.00013
393.25	0.00013
394.18	0.00012
395.11	0.00010
396.04	0.00008
396.97	0.00006
397.90	0.00004
398.82	0.00003
399.75	0.00003
400.68	0.00004
401.61	0.00005
402.54	0.00006
403.47	0.00007
404.40	0.00009
405.33	0.00009
406.26	0.00010
407.19	0.00010
408.12	0.00010
409.05	0.00011
409.98	0.00011
410.91	0.00011
411.84	0.00010
412.77	0.00009
413.70	0.00008
414.63	0.00007
415.56	0.00005
416.49	0.00005
417.42	0.00006
418.35	0.00007
419.28	0.00008
420.21	0.00010
421.14	0.00011
422.07	0.00012
423.00	0.00013
423.93	0.00013
424.86	0.00013
425.79	0.00012
426.71	0.00012
427.64	0.00011
428.57	0.00009
429.50	0.00008
430.43	0.00007
431.36	0.00005
432.29	0.00005
433.22	0.00004
434.15	0.00003
435.08	0.00002
436.01	0.00004
436.94	0.00005
437.87	0.00007
438.80	0.00009
439.73	0.00010
440.66	0.00011
441.59	0.00011
442.52	0.00010
443.45	0.00009
444.38	0.00008
445.31	0.00008
446.24	0.00008
447.17	0.00008
448.10	0.00009
449.03	0.00009
449.96	0.00009
450.89	0.00009
451.82	0.00008
452.75	0.00008
453.67	0.00007
454.60	0.00007
455.53	0.00007
456.46	0.00007
457.39	0.00007
458.32	0.00007
459.25	0.00007
460.18	0.00007
461.11	0.00008
462.04	0.00009
462.97	0.00009
463.90	0.00010
464.83	0.00010
465.76	0.00011
466.69	0.00010
467.62	0.00010
468.55	0.00010
469.48	0.00010
470.41	0.00009
471.34	0.00009
472.27	0.00008
473.20	0.00008
474.13	0.00007
475.06	0.00008
475.99	0.00009
476.92	0.00009
477.85	0.00010
478.78	0.00010
479.71	0.00010
480.64	0.00009
481.56	0.00009
482.49	0.00009
483.42	0.00009
484.35	0.00009
485.28	0.00009
486.21	0.00008
487.14	0.00008
488.07	0.00007
489.00	0.00007
489.93	0.00007
490.86	0.00007
491.79	0.00008
492.72	0.00009
493.65	0.00010
494.58	0.00011
495.51	0.00012
496.44	0.00012
497.37	0.00011
498.30	0.00010
499.23	0.00009
500.16	0.00007
501.09	0.00005
502.02	0.00004
502.95	0.00003
503.88	0.00002
504.81	0.00001
505.74	0.00002
506.67	0.00004
507.60	0.00005
508.53	0.00007
509.45	0.00008
510.38	0.00009
511.31	0.00009
512.24	0.00009
513.17	0.00008
514.10	0.00007
515.03	0.00006
515.96	0.00006
516.89	0.00005
517.82	0.00006
518.75	0.00006
519.68	0.00007
520.61	0.00007
521.54	0.00008
522.47	0.00008
523.40	0.00008
524.33	0.00007
525.26	0.00007
526.19	0.00007
527.12	0.00006
528.05	0.00006
528.98	0.00006
529.91	0.00006
530.84	0.00005
531.77	0.00005
532.70	0.00006
533.63	0.00006
534.56	0.00007
535.49	0.00009
536.41	0.00011
537.34	0.00013
538.27	0.00015
539.20	0.00017
540.13	0.00018
541.06	0.00018
541.99	0.00017
542.92	0.00016
543.85	0.00015
544.78	0.00013
545.71	0.00010
546.64	0.00008
547.57	0.00006
548.50	0.00004
549.43	0.00002
550.36	0.00002
551.29	0.00003
552.22	0.00004
553.15	0.00004
554.08	0.00005
555.01	0.00006
555.94	0.00007
556.87	0.00008
557.80	0.00009
558.73	0.00010
559.66	0.00010
560.59	0.00010
561.52	0.00010
562.45	0.00009
563.38	0.00007
564.30	0.00006
565.23	0.00005
566.16	0.00005
567.09	0.00005
568.02	0.00006
568.95	0.00006
569.88	0.00007
570.81	0.00008
571.74	0.00008
572.67	0.00009
573.60	0.00009
574.53	0.00010
575.46	0.00010
576.39	0.00010
577.32	0.00009
578.25	0.00008
579.18	0.00007
580.11	0.00007
581.04	0.00006
581.97	0.00007
582.90	0.00007
583.83	0.00008
584.76	0.00010
585.69	0.00011
586.62	0.00012
587.55	0.00012
588.48	0.00012
589.41	0.00012
590.34	0.00011
591.26	0.00010
592.19	0.00010
593.12	0.00009
594.05	0.00010
594.98	0.00010
595.91	0.00011
596.84	0.00012
597.77	0.00012
598.70	0.00012
599.63	0.00011
600.56	0.00011
601.49	0.00009
602.42	0.00008
603.35	0.00006
604.28	0.00005
605.21	0.00004
606.14	0.00003
607.07	0.00003
608.00	0.00003
608.93	0.00003
609.86	0.00003
610.79	0.00004
611.72	0.00004
612.65	0.00004
613.58	0.00004
614.51	0.00005
615.44	0.00005
616.37	0.00005
617.30	0.00005
618.23	0.00004
619.15	0.00004
620.08	0.00003
621.01	0.00003
621.94	0.00003
622.87	0.00003
623.80	0.00003
624.73	0.00004
625.66	0.00004
626.59	0.00005
627.52	0.00006
628.45	0.00006
629.38	0.00007
630.31	0.00008
631.24	0.00008
632.17	0.00008
633.10	0.00008
634.03	0.00008
634.96	0.00007
635.89	0.00006
636.82	0.00005
637.75	0.00005
638.68	0.00004
639.61	0.00004
640.54	0.00004
641.47	0.00005
642.40	0.00005
643.33	0.00006
644.26	0.00006
645.19	0.00005
646.11	0.00005
647.04	0.00004
647.97	0.00003
648.90	0.00002
649.83	0.00002
650.76	0.00001
651.69	0.00002
652.62	0.00002
653.55	0.00003
654.48	0.00003
655.41	0.00004
656.34	0.00005
657.27	0.00005
658.20	0.00006
659.13	0.00006
660.06	0.00006
660.99	0.00006
661.92	0.00006
662.85	0.00006
663.78	0.00005
664.71	0.00005
665.64	0.00005
666.57	0.00004
667.50	0.00004
668.43	0.00003
669.36	0.00002
670.29	0.00001
671.22	0.00001
672.15	0.00002
673.08	0.00003
674.00	0.00003
674.93	0.00004
675.86	0.00004
676.79	0.00004
677.72	0.00003
678.65	0.00003
679.58	0.00002
680.51	0.00002
681.44	0.00003
682.37	0.00003
683.30	0.00004
684.23	0.00004
685.16	0.00003
686.09	0.00003
687.02	0.00003
687.95	0.00003
688.88	0.00004
689.81	0.00004
690.74	0.00005
691.67	0.00005
692.60	0.00006
693.53	0.00006
694.46	0.00006
695.39	0.00006
696.32	0.00005
697.25	0.00005
698.18	0.00004
699.11	0.00004
700.04	0.00003
700.97	0.00003
701.89	0.00003
702.82	0.00003
703.75	0.00003
704.68	0.00003
705.61	0.00003
706.54	0.00003
707.47	0.00003
708.40	0.00003
709.33	0.00003
710.26	0.00003
711.19	0.00004
712.12	0.00004
713.05	0.00004
713.98	0.00005
714.91	0.00006
715.84	0.00006
716.77	0.00007
717.70	0.00007
718.63	0.00008
719.56	0.00008
720.49	0.00008
721.42	0.00008
722.35	0.00007
723.28	0.00007
724.21	0.00006
725.14	0.00005
726.07	0.00004
727.00	0.00003
727.93	0.00002
728.85	0.00002
729.78	0.00001
730.71	0.00001
731.64	0.00001
732.57	0.00001
733.50	0.00002
734.43	0.00002
735.36	0.00003
736.29	0.00002
737.22	0.00002
738.15	0.00002
739.08	0.00002
740.01	0.00003
740.94	0.00004
741.87	0.00005
742.80	0.00006
743.73	0.00007
744.66	0.00008
745.59	0.00008
746.52	0.00008
747.45	0.00008
748.38	0.00009
749.31	0.00009
750.24	0.00009
751.17	0.00009
752.10	0.00008
753.03	0.00007
753.96	0.00006
754.89	0.00005
755.82	0.00003
756.74	0.00003
757.67	0.00002
758.60	0.00002
759.53	0.00001
760.46	0.00001
761.39	0.00001
762.32	0.00001
763.25	0.00002
764.18	0.00002
765.11	0.00002
766.04	0.00002
766.97	0.00002
767.90	0.00002
768.83	0.00003
769.76	0.00002
770.69	0.00002
771.62	0.00002
772.55	0.00002
773.48	0.00002
774.41	0.00002
775.34	0.00003
776.27	0.00004
777.20	0.00004
778.13	0.00005
779.06	0.00005
779.99	0.00005
780.92	0.00005
781.85	0.00004
782.78	0.00004
783.70	0.00004
784.63	0.00005
785.56	0.00006
786.49	0.00007
787.42	0.00008
788.35	0.00009
789.28	0.00009
790.21	0.00009
791.14	0.00008
792.07	0.00007
793.00	0.00007
793.93	0.00006
794.86	0.00005
795.79	0.00005
796.72	0.00004
797.65	0.00003
798.58	0.00003
799.51	0.00003
800.44	0.00003
801.37	0.00003
802.30	0.00003
803.23	0.00003
804.16	0.00003
805.09	0.00004
806.02	0.00004
806.95	0.00004
807.88	0.00004
808.81	0.00004
809.74	0.00004
810.67	0.00004
811.59	0.00004
812.52	0.00005
813.45	0.00005
814.38	0.00005
815.31	0.00006
816.24	0.00005
817.17	0.00005
818.10	0.00005
819.03	0.00004
819.96	0.00004
820.89	0.00004
821.82	0.00004
822.75	0.00005
823.68	0.00005
824.61	0.00006
825.54	0.00007
826.47	0.00008
827.40	0.00008
828.33	0.00009
829.26	0.00009
830.19	0.00008
831.12	0.00008
832.05	0.00008
832.98	0.00007
833.91	0.00007
834.84	0.00006
835.77	0.00005
836.70	0.00005
837.63	0.00005
838.55	0.00005
839.48	0.00005
840.41	0.00006
841.34	0.00006
842.27	0.00006
843.20	0.00006
844.13	0.00005
845.06	0.00004
845.99	0.00003
846.92	0.00002
847.85	0.00001
848.78	0.00001
849.71	0.00002
850.64	0.00002
851.57	0.00002
852.50	0.00002
853.43	0.00002
854.36	0.00002
855.29	0.00002
856.22	0.00002
857.15	0.00002
858.08	0.00002
859.01	0.00002
859.94	0.00002
860.87	0.00003
861.80	0.00003
862.73	0.00003
863.66	0.00003
864.59	0.00004
865.52	0.00005
866.44	0.00006
867.37	0.00007
868.30	0.00008
869.23	0.00008
870.16	0.00008
871.09	0.00008
872.02	0.00007
872.95	0.00006
873.88	0.00005
874.81	0.00004
875.74	0.00004
876.67	0.00004
877.60	0.00004
878.53	0.00004
879.46	0.00003
880.39	0.00003
881.32	0.00003
882.25	0.00003
883.18	0.00003
884.11	0.00003
885.04	0.00004
885.97	0.00005
886.90	0.00006
887.83	0.00007
888.76	0.00007
889.69	0.00006
890.62	0.00005
891.55	0.00004
892.48	0.00003
893.41	0.00002
894.33	0.00002
895.26	0.00002
896.19	0.00002
897.12	0.00002
898.05	0.00004
898.98	0.00005
899.91	0.00007
900.84	0.00008
901.77	0.00009
902.70	0.00009
903.63	0.00009
904.56	0.00008
905.49	0.00006
906.42	0.00004
907.35	0.00003
908.28	0.00002
909.21	0.00002
910.14	0.00002
911.07	0.00002
912.00	0.00002
912.93	0.00002
913.86	0.00003
914.79	0.00003
915.72	0.00003
916.65	0.00003
917.58	0.00003
918.51	0.00003
919.44	0.00002
920.37	0.00002
921.29	0.00002
922.22	0.00002
923.15	0.00002
924.08	0.00003
925.01	0.00003
925.94	0.00002
926.87	0.00002
927.80	0.00002
928.73	0.00003
929.66	0.00003
930.59	0.00003
931.52	0.00003
932.45	0.00003
933.38	0.00002
934.31	0.00002
935.24	0.00002
936.17	0.00002
937.10	0.00002
938.03	0.00002
938.96	0.00003
939.89	0.00003
940.82	0.00003
941.75	0.00003
942.68	0.00003
943.61	0.00003
944.54	0.00004
945.47	0.00005
946.40	0.00005
947.33	0.00006
948.26	0.00006
949.18	0.00006
950.11	0.00006
951.04	0.00006
