Frecuencia(Hz)	Magnitud(V)
0.00	0.00034
0.93	0.00032
1.86	0.00027
2.79	0.00019
3.72	0.00010
4.65	0.00001
5.58	0.00008
6.51	0.00014
7.44	0.00017
8.37	0.00019
9.30	0.00019
10.23	0.00018
11.16	0.00016
12.09	0.00015
13.02	0.00013
13.94	0.00011
14.87	0.00010
15.80	0.00010
16.73	0.00011
17.66	0.00013
18.59	0.00014
19.52	0.00015
20.45	0.00016
21.38	0.00016
22.31	0.00015
23.24	0.00015
24.17	0.00014
25.10	0.00014
26.03	0.00013
26.96	0.00013
27.89	0.00012
28.82	0.00012
29.75	0.00012
30.68	0.00013
31.61	0.00013
32.54	0.00013
33.47	0.00013
34.40	0.00013
35.33	0.00014
36.26	0.00014
37.19	0.00014
38.12	0.00013
39.05	0.00012
39.98	0.00011
40.91	0.00010
41.83	0.00009
42.76	0.00009
43.69	0.00008
44.62	0.00008
45.55	0.00008
46.48	0.00009
47.41	0.00011
48.34	0.00014
49.27	0.00016
50.20	0.00018
51.13	0.00019
52.06	0.00020
52.99	0.00020
53.92	0.00019
54.85	0.00018
55.78	0.00016
56.71	0.00015
57.64	0.00014
58.57	0.00013
59.50	0.00013
60.43	0.00013
61.36	0.00014
62.29	0.00016
63.22	0.00017
64.15	0.00018
65.08	0.00019
66.01	0.00020
66.94	0.00021
67.87	0.00021
68.79	0.00021
69.72	0.00021
70.65	0.00020
71.58	0.00018
72.51	0.00015
73.44	0.00013
74.37	0.00011
75.30	0.00010
76.23	0.00011
77.16	0.00013
78.09	0.00015
79.02	0.00018
79.95	0.00019
80.88	0.00021
81.81	0.00021
82.74	0.00021
83.67	0.00020
84.60	0.00018
85.53	0.00017
86.46	0.00016
87.39	0.00015
88.32	0.00015
89.25	0.00016
90.18	0.00018
91.11	0.00020
92.04	0.00022
92.97	0.00023
93.90	0.00025
94.83	0.00026
95.76	0.00026
96.68	0.00026
97.61	0.00025
98.54	0.00023
99.47	0.00022
100.40	0.00019
101.33	0.00017
102.26	0.00015
103.19	0.00015
104.12	0.00016
105.05	0.00018
105.98	0.00021
106.91	0.00024
107.84	0.00027
108.77	0.00030
109.70	0.00031
110.63	0.00032
111.56	0.00032
112.49	0.00031
113.42	0.00029
114.35	0.00027
115.28	0.00025
116.21	0.00023
117.14	0.00021
118.07	0.00021
119.00	0.00021
119.93	0.00022
120.86	0.00024
121.79	0.00026
122.72	0.00029
123.65	0.00031
124.57	0.00032
125.50	0.00033
126.43	0.00033
127.36	0.00033
128.29	0.00033
129.22	0.00032
130.15	0.00030
131.08	0.00028
132.01	0.00024
132.94	0.00021
133.87	0.00019
134.80	0.00020
135.73	0.00023
136.66	0.00027
137.59	0.00032
138.52	0.00036
139.45	0.00039
140.38	0.00041
141.31	0.00042
142.24	0.00041
143.17	0.00040
144.10	0.00037
145.03	0.00035
145.96	0.00032
146.89	0.00030
147.82	0.00029
148.75	0.00030
149.68	0.00032
150.61	0.00036
151.53	0.00041
152.46	0.00046
153.39	0.00050
154.32	0.00052
155.25	0.00054
156.18	0.00053
157.11	0.00053
158.04	0.00052
158.97	0.00051
159.90	0.00049
160.83	0.00047
161.76	0.00043
162.69	0.00040
163.62	0.00039
164.55	0.00041
165.48	0.00047
166.41	0.00056
167.34	0.00067
168.27	0.00076
169.20	0.00083
170.13	0.00085
171.06	0.00083
171.99	0.00080
172.92	0.00078
173.85	0.00076
174.78	0.00075
175.71	0.00073
176.64	0.00070
177.57	0.00066
178.50	0.00065
179.42	0.00069
