Tiempo(s)	Voltaje(V)
0.000065	2.26526
0.000651	2.15649
0.001182	2.02028
0.001707	1.83493
0.002232	1.62460
0.002790	1.41346
0.003315	1.23294
0.003840	1.10806
0.004366	1.01858
0.004908	1.01294
0.005434	1.07100
0.005959	1.18701
0.006485	1.36190
0.007010	1.55934
0.007535	1.77047
0.008061	1.96147
0.008587	2.12346
0.009132	2.22900
0.009657	2.27014
0.010182	2.24190
0.010708	2.14602
0.011233	2.00256
0.011758	1.81881
0.012284	1.60365
0.012809	1.40862
0.013334	1.22569
0.013859	1.09114
0.014385	1.02260
0.014910	1.01133
0.015435	1.07261
0.015961	1.19104
0.016486	1.36351
0.017011	1.56900
0.017559	1.77772
0.018084	1.95502
0.018610	2.12829
0.019136	2.23142
0.019661	2.27498
0.020187	2.24673
0.020711	2.15085
0.021236	2.00498
0.021761	1.82445
0.022286	1.60687
0.022811	1.40379
0.023336	1.22891
0.023861	1.09597
0.024387	1.02260
0.024911	1.00810
0.025437	1.06294
0.025962	1.19346
0.026489	1.36431
0.027014	1.56175
0.027540	1.76725
0.028065	1.95986
0.028590	2.12346
0.029116	2.22900
0.029641	2.27256
0.030166	2.24592
0.030691	2.15810
0.031216	2.00739
0.031741	1.82526
0.032266	1.61896
0.032792	1.41265
0.033316	1.22730
0.033842	1.09436
0.034416	1.02019
0.034941	1.00971
0.035466	1.06777
0.035991	1.20313
0.036516	1.37398
0.037041	1.56739
0.037567	1.78175
0.038093	1.97114
0.038619	2.12668
0.039145	2.23384
0.039670	2.27256
0.040196	2.24109
0.040722	2.14602
0.041247	2.00014
0.041772	1.81076
0.042297	1.60365
0.042822	1.40057
0.043347	1.22569
0.043873	1.09114
0.044398	0.99360
0.044923	1.01697
0.045449	1.07422
0.045974	1.18943
0.046499	1.36028
0.047024	1.56256
0.047549	1.77531
0.048074	1.96469
0.048600	2.12507
0.049124	2.23062
0.049649	2.26848
0.050175	2.24351
0.050700	2.14119
0.051225	2.00175
0.051752	1.81801
0.052277	1.61171
0.052802	1.40782
0.053327	1.23213
0.053853	1.09597
0.054379	1.02341
0.054904	1.01213
0.055429	1.06133
0.055954	1.18862
0.056479	1.36109
0.057005	1.56256
0.057531	1.76725
0.058056	1.96469
0.058582	2.11540
0.059108	2.23464
0.059633	2.27014
0.060158	2.24834
0.060683	2.16294
0.061208	2.00739
0.061733	1.84218
0.062258	1.61896
0.062783	1.40943
0.063308	1.23455
0.063833	1.09919
0.064358	1.02422
0.064883	1.01374
