Tiempo(s)	Voltaje(V)
0.000062	1.84379
0.000643	2.18147
0.001174	2.26526
0.001700	2.09204
0.002225	1.70441
0.002784	1.29986
0.003310	1.04280
0.003835	1.03796
0.004361	1.29180
0.004900	1.69152
0.005427	2.07351
0.005952	2.26934
0.006478	2.19436
0.007002	1.88976
0.007527	1.48924
0.008052	1.13867
0.008577	1.00569
0.009123	1.14512
0.009648	1.49488
0.010173	1.89782
0.010699	2.19758
0.011223	2.26445
0.011749	2.06304
0.012274	1.68346
0.012799	1.28938
0.013325	1.04119
0.013850	1.03877
0.014375	1.29664
0.014901	1.69393
0.015426	2.06867
0.015951	2.25720
0.016476	2.19517
0.017001	1.89218
0.017550	1.46668
0.018076	1.12900
0.018603	1.01052
0.019127	1.14753
0.019653	1.49891
0.020178	1.90185
0.020703	2.20161
0.021228	2.26365
0.021753	2.05976
0.022278	1.67782
0.022803	1.28536
0.023328	1.03474
0.023853	1.04763
0.024378	1.29825
0.024904	1.69555
0.025429	2.07190
0.025954	2.26204
0.026480	2.19355
0.027005	1.89218
0.027531	1.48441
0.028056	1.13787
0.028581	1.01213
0.029106	1.13787
0.029632	1.48280
0.030158	1.88654
0.030683	2.19033
0.031208	2.26204
0.031733	2.07109
0.032258	1.69877
0.032784	1.30228
0.033310	1.04683
0.033835	1.04521
0.034409	1.31758
0.034935	1.72455
0.035460	2.08801
0.035986	2.26043
0.036512	2.18147
0.037038	1.86559
0.037564	1.45540
0.038088	1.12336
0.038613	1.00488
0.039138	1.15237
0.039663	1.50133
0.040188	1.91635
0.040713	2.20725
0.041238	2.25559
0.041763	2.04204
0.042288	1.67379
0.042813	1.27972
0.043338	1.03877
0.043863	1.04521
0.044388	1.30389
0.044913	1.70441
0.045438	2.07512
0.045963	2.26607
0.046488	2.19275
0.047013	1.88574
0.047538	1.47716
0.048063	1.13787
0.048588	1.00327
0.049113	1.14592
0.049638	1.48602
0.050163	1.89218
0.050688	2.19517
0.051213	2.26284
0.051739	2.07190
0.052265	1.69313
0.052789	1.29664
0.053314	1.04199
0.053839	1.03957
0.054364	1.28777
0.054889	1.68668
0.055414	2.06545
0.055939	2.26123
0.056465	2.20081
0.056990	1.90024
0.057515	1.49569
0.058040	1.15076
0.058565	1.01294
0.059090	1.13303
0.059615	1.46991
0.060140	1.87929
0.060666	2.18630
0.061191	2.26445
0.061716	2.08237
0.062241	1.71085
0.062766	1.31114
0.063291	1.04924
0.063817	1.03474
0.064343	1.27649
0.064868	1.66251
0.065393	2.05009
