Tiempo(s)	Voltaje(V)
0.167558	1.32242
0.168084	1.05488
0.168609	1.03066
0.169134	1.26038
0.169659	1.65848
0.170184	2.03317
0.170709	2.25237
0.171234	2.21370
0.171759	1.93488
0.172284	1.53275
0.172809	1.17090
0.173335	1.01052
0.173860	1.10564
0.174385	1.43602
0.174910	1.84137
0.175435	2.17180
0.175960	2.27417
0.176485	2.10654
0.177010	1.74389
0.177535	1.34256
0.178060	1.06294
0.178586	1.02260
0.179112	1.24829
0.179637	1.63024
0.180163	2.01948
0.180689	2.24431
0.181215	2.22336
0.181741	1.94536
0.182265	1.54967
0.182790	1.18218
0.183315	1.01213
0.183840	1.10483
0.184365	1.42313
0.184891	1.83171
0.185416	2.16213
0.185941	2.26768
0.186467	2.11621
0.186992	1.76081
0.187517	1.35626
0.188042	1.06133
0.188567	1.02099
0.189092	1.23782
0.189617	1.61654
0.190142	2.00256
0.190667	2.24915
0.191192	2.22900
0.191717	1.96389
0.192242	1.56498
0.192767	1.19265
0.193292	1.01052
0.193818	1.09275
0.194343	1.40621
0.194868	1.81559
0.195393	2.15408
0.195919	2.27095
0.196444	2.12991
0.196970	1.78014
0.197495	1.36431
0.198020	1.07744
0.198545	1.01858
0.199070	1.21682
0.199595	1.59881
0.200120	1.99128
0.200645	2.23706
0.201171	2.22981
0.201696	1.97839
0.202221	1.58028
0.202746	1.20393
0.203271	1.01858
0.203796	1.08389
0.204321	1.38929
0.204846	1.79706
0.205372	2.13877
0.205897	2.27417
0.206422	2.13635
0.206947	1.79706
0.207473	1.38284
0.207998	1.08469
0.208523	1.01535
0.209049	1.20554
0.209573	1.58270
0.210098	1.97758
0.210623	2.24109
0.211148	2.23867
0.211673	1.99531
0.212199	1.59559
0.212724	1.21763
0.213249	1.01938
0.213774	1.07341
0.214299	1.37559
0.214824	1.78175
0.215349	2.13152
0.215874	2.27337
0.216399	2.15247
0.216925	1.81962
0.217450	1.40540
0.217975	1.09355
0.218501	1.01213
0.219026	1.19104
0.219551	1.56095
0.220076	1.97033
0.220602	2.23142
0.221128	2.24512
0.221652	2.00659
0.222177	1.61493
0.222703	1.22971
0.223228	1.02099
0.223753	1.07261
0.224279	1.36028
0.224805	1.76403
0.225330	2.11943
0.225855	2.26848
0.226380	2.16052
0.226905	1.82848
0.227431	1.41829
0.227955	1.10403
0.228480	1.00971
0.229006	1.18218
0.229530	1.54403
0.230055	1.94858
0.230580	2.23142
0.231106	2.25156
0.231631	2.02190
0.232156	1.62460
0.232682	1.24588
0.233208	1.02422
0.233734	1.06213
0.234259	1.34256
0.234784	1.74953
0.235309	2.10574
0.235835	2.27176
0.236361	2.16294
0.236886	1.84460
0.237411	1.43360
0.237937	1.10806
0.238462	1.01133
0.238987	1.17009
0.239513	1.53517
0.240039	1.93891
0.240564	2.21934
0.241090	2.25479
0.241615	2.03156
0.242141	1.64071
0.242665	1.25071
0.243191	1.02905
0.243716	1.05730
0.244241	1.32967
0.244766	1.73744
0.245291	2.10574
0.245817	2.26848
0.246344	2.17664
0.246869	1.85507
0.247394	1.44493
0.247919	1.11531
0.248444	1.00971
0.248969	1.16284
0.249494	1.51825
0.250019	1.92683
0.250544	2.21450
0.251070	2.26365
0.251594	2.04607
0.252120	1.65848
0.252646	1.26844
0.253171	1.03232
0.253696	1.05005
0.254221	1.31919
0.254746	1.71810
0.255271	2.08962
0.255796	2.26848
0.256322	2.18550
0.256848	1.87204
0.257373	1.45782
0.257898	1.12659
0.258424	1.00649
0.258949	1.15398
0.259474	1.50455
0.259999	1.90910
0.260524	2.20483
0.261049	2.26204
0.261574	2.05493
0.262100	1.67379
0.262624	1.27972
0.263149	1.03555
0.263675	1.03635
0.264199	1.29744
0.264724	1.70280
0.265249	2.07512
0.265774	2.25801
0.266300	2.18550
0.266825	1.88896
0.267350	1.47716
0.267875	1.13867
0.268401	1.00971
0.268927	1.14351
